commodityCode,countryCode,weeklyExports,accumulatedExports,outstandingSales,grossNewSales,currentMYNetSales,currentMYTotalCommitment,nextMYOutstandingSales,nextMYNetSales,unitId,weekEndingDate,Year
1301,2050,0,0,88,0,0,88,0,0,2,2024-08-01T00:00:00,2024
1301,3010,0,0,565,565,0,565,0,0,2,2024-08-01T00:00:00,2024
1301,3330,783,783,10967,8254,0,11750,0,0,2,2024-08-01T00:00:00,2024
1301,4280,0,0,440,440,0,440,0,0,2,2024-08-01T00:00:00,2024
1301,4750,0,0,5587,1337,0,5587,0,0,2,2024-08-01T00:00:00,2024
1301,4890,0,0,345,87,0,345,0,0,2,2024-08-01T00:00:00,2024
1301,5200,0,0,430,0,0,430,0,0,2,2024-08-01T00:00:00,2024
1301,5330,0,0,16171,15378,2060,16171,0,0,2,2024-08-01T00:00:00,2024
1301,5350,435,435,3987,1986,1121,4422,0,0,2,2024-08-01T00:00:00,2024
1301,5380,0,0,965,965,0,965,0,0,2,2024-08-01T00:00:00,2024
1301,5490,0,0,518,430,0,518,0,0,2,2024-08-01T00:00:00,2024
1301,5520,0,0,6525,4350,2175,6525,0,0,2,2024-08-01T00:00:00,2024
1301,5570,0,0,86,0,0,86,0,0,2,2024-08-01T00:00:00,2024
1301,5600,0,0,261,261,261,261,0,0,2,2024-08-01T00:00:00,2024
1301,5700,440,440,2699,2871,1570,3139,0,0,2,2024-08-01T00:00:00,2024
1301,5800,0,0,172,172,0,172,0,0,2,2024-08-01T00:00:00,2024
1301,5830,0,0,435,0,0,435,0,0,2,2024-08-01T00:00:00,2024
1301,5880,0,0,611,348,86,611,0,0,2,2024-08-01T00:00:00,2024
1301,7290,0,0,441,441,441,441,0,0,2,2024-08-01T00:00:00,2024
1301,2,0,0,0,0,0,0,0,0,2,2024-08-01T00:00:00,2024
1301,2010,0,0,0,0,0,0,0,0,2,2024-08-08T00:00:00,2024
1301,2050,88,88,0,0,0,88,0,0,2,2024-08-08T00:00:00,2024
1301,2110,0,0,0,0,0,0,0,0,2,2024-08-08T00:00:00,2024
1301,2150,0,0,0,0,0,0,0,0,2,2024-08-08T00:00:00,2024
1301,3010,0,0,565,0,0,565,0,0,2,2024-08-08T00:00:00,2024
1301,3330,264,1047,13345,2642,2642,14392,0,0,2,2024-08-08T00:00:00,2024
1301,3510,0,0,0,0,0,0,0,0,2,2024-08-08T00:00:00,2024
1301,4120,0,0,0,0,0,0,0,0,2,2024-08-08T00:00:00,2024
1301,4280,264,264,176,0,0,440,0,0,2,2024-08-08T00:00:00,2024
1301,4330,0,0,0,0,0,0,0,0,2,2024-08-08T00:00:00,2024
1301,4410,0,0,0,0,0,0,0,0,2,2024-08-08T00:00:00,2024
1301,4710,0,0,0,0,0,0,0,0,2,2024-08-08T00:00:00,2024
1301,4750,0,0,5411,0,-176,5411,0,0,2,2024-08-08T00:00:00,2024
1301,4792,0,0,0,0,0,0,0,0,2,2024-08-08T00:00:00,2024
1301,4840,0,0,0,0,0,0,0,0,2,2024-08-08T00:00:00,2024
1301,4890,0,0,345,0,0,345,0,0,2,2024-08-08T00:00:00,2024
1301,5200,0,0,430,0,0,430,0,0,2,2024-08-08T00:00:00,2024
1301,5250,0,0,0,0,0,0,0,0,2,2024-08-08T00:00:00,2024
1301,5330,6980,6980,19333,10142,10142,26313,0,0,2,2024-08-08T00:00:00,2024
1301,5350,783,1218,3292,88,88,4510,0,0,2,2024-08-08T00:00:00,2024
1301,5380,0,0,965,0,0,965,0,0,2,2024-08-08T00:00:00,2024
1301,5490,0,0,1212,694,694,1212,0,0,2,2024-08-08T00:00:00,2024
1301,5520,0,0,10831,4306,4306,10831,0,0,2,2024-08-08T00:00:00,2024
1301,5570,0,0,86,0,0,86,0,0,2,2024-08-08T00:00:00,2024
1301,5600,0,0,613,352,352,613,0,0,2,2024-08-08T00:00:00,2024
1301,5700,0,440,6292,3593,3593,6732,0,0,2,2024-08-08T00:00:00,2024
1301,5800,0,0,172,0,0,172,0,0,2,2024-08-08T00:00:00,2024
1301,5820,0,0,414,414,414,414,0,0,2,2024-08-08T00:00:00,2024
1301,5830,0,0,435,0,0,435,0,0,2,2024-08-08T00:00:00,2024
1301,5880,176,176,609,174,174,785,0,0,2,2024-08-08T00:00:00,2024
1301,7290,0,0,617,176,176,617,0,0,2,2024-08-08T00:00:00,2024
1301,7740,0,0,0,0,0,0,0,0,2,2024-08-08T00:00:00,2024
1301,2,0,0,0,0,0,0,0,0,2,2024-08-08T00:00:00,2024
1301,2010,0,0,0,0,0,0,0,0,2,2024-08-15T00:00:00,2024
1301,2050,0,88,0,0,0,88,0,0,2,2024-08-15T00:00:00,2024
1301,2110,0,0,0,0,0,0,0,0,2,2024-08-15T00:00:00,2024
1301,2150,0,0,0,0,0,0,0,0,2,2024-08-15T00:00:00,2024
